"AA_Service_Name","base_URL","query_path","page_views","search_text_query"
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=2&search_text=",418,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=&search_text=",248,""
"OG-GO","search.open.canada.ca/en/od/","?sort=last_modified_tdt%20desc&page=1&search_text=",213,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=1&search_text=",205,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=3&search_text=",189,""
"OG-GO","search.open.canada.ca/en/od/","?search_text=",159,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=1&search_text=&od-search-col=briefing%20packages%20for%20new%20or%20incoming",128,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=1&search_text=&od-search-format=csv",119,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=1&search_text=&od-search-col=briefing%20packages%20for%20parliamentary%20com",96,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=1&search_text=&od-search-orgs=infrastructure%20canada",68,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=4&search_text=",61,""
"OG-GO","search.open.canada.ca/en/od/","?sort=last_modified_tdt%20desc&page=&search_text=",58,""
"OG-GO","search.open.canada.ca/en/od/","?sort=last_modified_tdt%20desc&page=1&search_text=&od-search-orgs=fisheries%20and%20oceans%20canada",57,""
"OG-GO","search.open.canada.ca/en/od/","?od-search-portal=open%20data&search_text=covid",55,"covid"
"OG-GO","search.open.canada.ca/en/od/","?sort=last_modified_tdt%20desc&page=2&search_text=",48,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=1&search_text=&od-search-subjects=nature%20and%20environment",45,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=1&search_text=&od-search-subjects=health%20and%20safety",44,""
"OG-GO","search.open.canada.ca/en/od/","?od-search-portal=open%20data&search_text=",42,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=1&search_text=&od-search-format=shp",39,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=5&search_text=",36,""
"OG-GO","search.open.canada.ca/en/od/","?sort=last_modified_tdt%20desc&page=1&search_text=&od-search-orgs=environment%20and%20climate%20chan",36,""
"OG-GO","search.open.canada.ca/en/od/","?od-search-portal=open%20data&search_text=pipeline",34,"pipeline"
"OG-GO","search.open.canada.ca/en/od/","?od-search-portal=open%20data&search_text=npri",31,"npri"
"OG-GO","search.open.canada.ca/en/od/","?od-search-portal=open%20data&search_text=immigration",30,"immigration"
"OG-GO","search.open.canada.ca/en/od/","?sort=last_modified_tdt%20desc&page=1&search_text=&od-search-orgs=immigration%2c%20refugees%20and%20",28,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=1&search_text=&od-search-orgs=environment%20and%20climate%20change%20canada&",28,""
"OG-GO","search.open.canada.ca/en/od/","?sort=last_modified_tdt%20desc&page=1&search_text=&od-search-col=geospatial",27,""
"OG-GO","search.open.canada.ca/en/od/","?sort=last_modified_tdt%20desc&page=1&search_text=&od-search-orgs=agriculture%20and%20agri-food%20ca",25,""
"OG-GO","search.open.canada.ca/en/od/","?search_text=ircc",22,"ircc"
"OG-GO","search.open.canada.ca/en/od/","?sort=score desc&page=1&search_text=&od-search-col=briefing%20packages%20for%20parliamentary%20commi",22,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=1&search_text=youth&od-search-keywords=education%20training%20and%20learning",21,"youth"
"OG-GO","search.open.canada.ca/en/od/","?od-search-portal=open%20data&search_text=crmn",21,"crmn"
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=1&search_text=&od-search-subjects=economics%20and%20industry",21,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=2&search_text=covid",20,"covid"
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=1&search_text=&od-search-subjects=nature%20and%20environment&od-search-forma",20,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=1&search_text=&od-search-orgs=environment%20and%20climate%20change%20canada",19,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=2&search_text=&od-search-subjects=nature%20and%20environment&od-search-forma",19,""
"OG-GO","search.open.canada.ca/en/od/","?sort=score%20desc&page=1&search_text=covid",19,"covid"
